app_id,app_name,category,app_type,content_rating,genres,sub_genres,sub_genres_y_n
A0109,DC Super Hero Girls™,GAME,Free,Everyone,Action,Action & Adventure,1
A0110,ROBLOX,GAME,Free,Everyone 10+,Adventure,Action & Adventure,1
A0111,ROBLOX,GAME,Free,Everyone 10+,Adventure,Action & Adventure,1
A0112,ROBLOX,GAME,Free,Everyone 10+,Adventure,Action & Adventure,1
A0113,ROBLOX,GAME,Free,Everyone 10+,Adventure,Action & Adventure,1
A0114,ROBLOX,GAME,Free,Everyone 10+,Adventure,Action & Adventure,1
A0115,Dog Run - Pet Dog Simulator,GAME,Free,Everyone,Simulation,Action & Adventure,1
A0116,Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,Free,Everyone,Travel & Local,Action & Adventure,1
A0117,Memorado - Brain Games,EDUCATION,Free,Everyone,Education,Brain Games,1
A0118,No.Draw - Colors by Number 2018,ENTERTAINMENT,Free,Everyone,Entertainment,Brain Games,1
A0119,Low Poly – Puzzle art game,ENTERTAINMENT,Free,Everyone,Entertainment,Brain Games,1
A0120,Color By Numbers - Art Game for Kids and Adults,FAMILY,Free,Everyone,Educational,Brain Games,1
A0121,CN Summer Challenge,FAMILY,Free,Everyone,Entertainment,Brain Games,1
A0122,Chess PRO Free,FAMILY,Free,Everyone,Board,Brain Games,1
A0123,Start the Hunt for the Lost Treasure,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0124,THE aMAZEing Labyrinth,FAMILY,Paid,Everyone,Board,Brain Games,1
A0125,EP Chain Reaction,FAMILY,Free,Everyone,Casual,Brain Games,1
A0126,Mad Libs,FAMILY,Free,Everyone,Entertainment,Brain Games,1
A0127,Dominos Game ✔️,FAMILY,Free,Everyone,Board,Brain Games,1
A0128,Checkers ✔️,FAMILY,Free,Everyone,Board,Brain Games,1
A0129,Kids Animals Jigsaw Puzzles 😄,FAMILY,Free,Everyone,Educational,Brain Games,1
A0130,Painting By Numbers,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0131,Chess for Kids - Play & Learn,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0132,Ludo Family Dice Game,FAMILY,Free,Everyone,Board,Brain Games,1
A0133,Steam: Rails to Riches,FAMILY,Paid,Everyone,Board,Brain Games,1
A0134,Word Search Games in english,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0135,Chess Free,FAMILY,Free,Everyone,Board,Brain Games,1
A0136,Power Spheres by BoBoiBoy,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0137,Masha and Bear: Cooking Dash,FAMILY,Free,Everyone,Role Playing,Brain Games,1
A0138,Free games: Masha and the Bear,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0139,Masha and The Bear Puzzle Game,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0140,Mosaic puzzles,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0141,Fruit Boom,FAMILY,Free,Everyone,Casual,Brain Games,1
A0142,Block Puzzle : Night in Egypt,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0143,All-in-One Mahjong 3,FAMILY,Paid,Everyone,Board,Brain Games,1
A0144,Jewels Crush- Match 3 Puzzle,FAMILY,Free,Everyone,Casual,Brain Games,1
A0145,Candy Bomb,FAMILY,Free,Everyone,Casual,Brain Games,1
A0146,Bubble Shooter,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0147,Solitaire,FAMILY,Free,Everyone,Card,Brain Games,1
A0148,Where's My Water? Free,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0149,Inside Out Thought Bubbles,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0150,Inside Out Thought Bubbles,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0151,No.Draw - Colors by Number 2018,FAMILY,Free,Everyone,Entertainment,Brain Games,1
A0152,"Pixel art pro-Sand box,paint by number,number draw",FAMILY,Free,Everyone,Casual,Brain Games,1
A0153,Candy Smash,FAMILY,Free,Everyone,Casual,Brain Games,1
A0154,All-in-One Mahjong 3 FREE,FAMILY,Free,Everyone,Board,Brain Games,1
A0155,Chess and Mate,FAMILY,Paid,Everyone,Board,Brain Games,1
A0156,Happy Fruits Bomb - Cube Blast,FAMILY,Free,Everyone,Casual,Brain Games,1
A0157,Toy Pop Cubes,FAMILY,Free,Everyone,Casual,Brain Games,1
A0158,Mahjong,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0159,Masha and the Bear. Educational Games,FAMILY,Free,Everyone,Educational,Brain Games,1
A0160,Baby Panda’s Juice Shop,FAMILY,Free,Everyone,Educational,Brain Games,1
A0161,Kids Corner: Interactive Tales and Games for kids,FAMILY,Free,Everyone,Educational,Brain Games,1
A0162,Candy Day,FAMILY,Free,Everyone,Casual,Brain Games,1
A0163,Crazy Colors: Bubbles Matching,FAMILY,Free,Everyone,Board,Brain Games,1
A0164,Mind Games Pro,FAMILY,Paid,Everyone,Puzzle,Brain Games,1
A0165,Garden Fruit Legend,FAMILY,Free,Everyone,Casual,Brain Games,1
A0166,Puzzle Kids - Animals Shapes and Jigsaw Puzzles,FAMILY,Free,Everyone,Educational,Brain Games,1
A0167,The Hunt for the Lost Treasure,FAMILY,Paid,Everyone,Adventure,Brain Games,1
A0168,Fruit Cube Blast,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0169,Masha and The Bear Jam Day Match 3 games for kids,FAMILY,Free,Everyone,Puzzle,Brain Games,1
A0170,Candy Pop Story,FAMILY,Free,Everyone,Casual,Brain Games,1
A0171,Tsuro - The Game of the Path,FAMILY,Paid,Everyone,Board,Brain Games,1
A0172,Where's My Water?,FAMILY,Paid,Everyone,Puzzle,Brain Games,1
A0173,Lanterns: The Harvest Festival,FAMILY,Paid,Everyone,Board,Brain Games,1
A0174,Pino chess,FAMILY,Free,Everyone,Casual,Brain Games,1
A0175,Hactar Go,FAMILY,Paid,Everyone,Board,Brain Games,1
A0176,"No. Color - Color by Number, Number Coloring",FAMILY,Free,Everyone,Entertainment,Brain Games,1
A0177,Candy Bomb,GAME,Free,Everyone,Casual,Brain Games,1
A0178,My baby Game (Balloon POP!),PARENTING,Free,Everyone,Parenting,Brain Games,1
A0179,Paint Splash!,ART_AND_DESIGN,Free,Everyone,Art & Design,Creativity,1
A0180,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,Free,Everyone,Art & Design,Creativity,1
A0181,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,Free,Everyone,Art & Design,Creativity,1
A0182,Colorfit - Drawing & Coloring,ART_AND_DESIGN,Free,Everyone,Art & Design,Creativity,1
A0183,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,Free,Everyone,Art & Design,Creativity,1
A0184,Unicorn Pokez - Color By Number,COMICS,Free,Everyone,Comics,Creativity,1
A0185,Cars Coloring Pages,EDUCATION,Free,Everyone,Education,Creativity,1
A0186,Princess Coloring Book,EDUCATION,Free,Everyone,Education,Creativity,1
A0187,Pinkalicious Party,FAMILY,Paid,Everyone,Educational,Creativity,1
A0188,Pet Beauty Salon,FAMILY,Free,Everyone,Educational,Creativity,1
A0189,Barbie Magical Fashion,FAMILY,Free,Everyone,Casual,Creativity,1
A0190,Video Editor,FAMILY,Free,Everyone,Video Players & Editors,Creativity,1
A0191,Barbie™ Fashion Closet,FAMILY,Free,Everyone,Casual,Creativity,1
A0192,Hello Kitty Lunchbox,FAMILY,Free,Everyone,Casual,Creativity,1
A0193,Dr. Panda Art Class,FAMILY,Paid,Everyone,Education,Creativity,1
A0194,Toca Mystery House,FAMILY,Paid,Everyone,Educational,Creativity,1
A0195,Beauty and the Beast,FAMILY,Free,Everyone,Puzzle,Creativity,1
A0196,Princess Adventures Puzzles,FAMILY,Free,Everyone,Education,Creativity,1
A0197,Coloring & Learn,FAMILY,Free,Everyone,Educational,Creativity,1
A0198,Fairy Kingdom: World of Magic and Farming,FAMILY,Free,Everyone,Strategy,Creativity,1
A0199,Princess Palace: Royal Pony,FAMILY,Free,Everyone,Educational,Creativity,1
A0200,No.Color – Color by Number,FAMILY,Free,Everyone,Casual,Creativity,1
A0201,Cutie Cubies,FAMILY,Free,Everyone,Puzzle,Creativity,1
A0202,Princess Coloring Book,FAMILY,Free,Everyone,Education,Creativity,1
A0203,No.Diamond – Colors by Number,FAMILY,Free,Everyone,Entertainment,Creativity,1
A0204,Sandbox - Color by Number Coloring Pages,FAMILY,Free,Everyone,Entertainment,Creativity,1
A0205,Color By Number - Sandbox Pixel Coloring Book,FAMILY,Free,Everyone,Casual,Creativity,1
A0206,Draw Color by Number - Sandbox Pixel Art,FAMILY,Free,Everyone,Casual,Creativity,1
A0207,UNICORN - Color By Number & Pixel Art Coloring,FAMILY,Free,Everyone,Art & Design,Creativity,1
A0208,Barbie™ Fashion Closet,GAME,Free,Everyone,Casual,Creativity,1
A0209,Video Editor,VIDEO_PLAYERS,Free,Everyone,Video Players & Editors,Creativity,1
A0210,ABC Preschool Free,EDUCATION,Free,Everyone,Education,Education,1
A0211,Dinosaurs Coloring Pages,EDUCATION,Free,Everyone,Education,Education,1
A0212,ClassDojo,EDUCATION,Free,Everyone,Education,Education,1
A0213,ClassDojo,EDUCATION,Free,Everyone,Education,Education,1
A0214,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,Free,Everyone,Education,Education,1
A0215,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,Free,Everyone,Education,Education,1
A0216,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,Free,Everyone,Education,Education,1
A0217,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,Free,Everyone,Education,Education,1
A0218,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,Paid,Everyone,Education,Education,1
A0219,"Learn Japanese, Korean, Chinese Offline & Free",EDUCATION,Free,Everyone,Education,Education,1
A0220,EG Classroom Decimals™,FAMILY,Paid,Everyone,Education,Education,1
A0221,EF Spelling Bee,FAMILY,Free,Everyone,Education,Education,1
A0222,Cook 'n Learn Smart Kitchen,FAMILY,Free,Everyone,Educational,Education,1
A0223,Lire avec Sami et Julie,FAMILY,Free,Everyone,Educational,Education,1
A0224,Tee and Mo Bath Time Free,FAMILY,Free,Everyone,Educational,Education,1
A0225,Tee and Mo Bath Time Free,FAMILY,Free,Everyone,Educational,Education,1
A0226,DK Virtual Reality,FAMILY,Free,Everyone,Books & Reference,Education,1
A0227,Q Wunder,FAMILY,Free,Everyone,Education,Education,1
A0228,Madagascar Surf n' Slides Free,FAMILY,Free,Everyone,Educational,Education,1
A0229,Sweet Baby Girl Newborn Baby,FAMILY,Free,Everyone,Educational,Education,1
A0230,Montessori Preschool,FAMILY,Free,Everyone,Education,Education,1
A0231,Sweet Baby Girl - Dream House and Play Time,FAMILY,Free,Everyone,Educational,Education,1
A0232,Math games for kids : times tables - AB Math,FAMILY,Free,Everyone,Educational,Education,1
A0233,Earth to Luna! Watch and Play,FAMILY,Free,Everyone,Educational,Education,1
A0234,Cursive Writing Wizard - Handwriting,FAMILY,Free,Everyone,Education,Education,1
A0235,Learn German: Die Bienenretter,FAMILY,Free,Everyone,Educational,Education,1
A0236,Nancy Drew Codes and Clues,FAMILY,Free,Everyone,Educational,Education,1
A0237,CK-12 Physics Simulations,FAMILY,Free,Everyone,Education,Education,1
A0238,Writing Wizard Premium - Handwriting,FAMILY,Paid,Everyone,Education,Education,1
A0239,Preschool All-In-One,FAMILY,Free,Everyone,Casual,Education,1
A0240,codeSpark Academy & The Foos,FAMILY,Free,Everyone,Educational,Education,1
A0241,Masha and the Bear Child Games,FAMILY,Free,Everyone,Adventure,Education,1
A0242,Masha and the Bear Child Games,FAMILY,Free,Everyone,Adventure,Education,1
A0243,Farming Simulator 16,FAMILY,Paid,Everyone,Simulation,Education,1
A0244,CK-12: Practice Math & Science,FAMILY,Free,Everyone,Education,Education,1
A0245,Doctor Pets,FAMILY,Free,Everyone,Educational,Education,1
A0246,Kids A-Z,FAMILY,Free,Everyone,Education,Education,1
A0247,Starfall Free & Member,FAMILY,Free,Everyone,Education,Education,1
A0248,FlexBook,FAMILY,Free,Everyone,Education,Education,1
A0249,"Math Quiz Free: Grades K,1,2,3",FAMILY,Free,Everyone,Education,Education,1
A0250,Baby puzzles,FAMILY,Free,Everyone,Educational,Education,1
A0251,iTooch Mathématiques CP,FAMILY,Free,Everyone,Education,Education,1
A0252,Kids Educational Game 3 Free,FAMILY,Free,Everyone,Educational,Education,1
A0253,Educational Games 4 Kids,FAMILY,Free,Everyone,Educational,Education,1
A0254,My Little Work – Garage,FAMILY,Paid,Everyone,Casual,Education,1
A0255,Zapzapmath: K-6 Math Games,FAMILY,Free,Everyone,Educational,Education,1
A0256,Intellijoy Early Learning Academy,FAMILY,Free,Everyone,Education,Education,1
A0257,ABCmouse.com,FAMILY,Free,Everyone,Education,Education,1
A0258,PBS KIDS Games,FAMILY,Free,Everyone,Educational,Education,1
A0259,Learn To Draw Glow Flower,FAMILY,Free,Everyone,Entertainment,Education,1
A0260,Draw.ly - Color by Number Pixel Art Coloring,FAMILY,Free,Everyone,Casual,Education,1
A0261,King of Math,FAMILY,Paid,Everyone,Education,Education,1
A0262,Sounds for Toddlers FREE,FAMILY,Free,Everyone,Educational,Education,1
A0263,Sounds for Toddlers FREE,FAMILY,Free,Everyone,Educational,Education,1
A0264,Endless Numbers,FAMILY,Free,Everyone,Education,Education,1
A0265,World History Quick e-Book,FAMILY,Free,Everyone,Education,Education,1
A0266,Sight Words Pre-K to Grade-3,FAMILY,Free,Everyone,Educational,Education,1
A0267,Tricky Bike Stunt Rider DX,FAMILY,Free,Everyone,Simulation,Education,1
A0268,ClassDojo,FAMILY,Free,Everyone,Education,Education,1
A0269,Papumba Academy - Fun Learning For Kids,FAMILY,Free,Everyone,Education,Education,1
A0270,Papumba Academy - Fun Learning For Kids,FAMILY,Free,Everyone,Education,Education,1
A0271,Papumba Academy - Fun Learning For Kids,FAMILY,Free,Everyone,Education,Education,1
A0272,Alif Ba Ta Song - Arabic Kids,FAMILY,Free,Everyone,Educational,Education,1
A0273,Zowi App,FAMILY,Free,Everyone,Education,Education,1
A0274,Educational Games for Kids,FAMILY,Free,Everyone,Educational,Education,1
A0275,Arabic Alif Ba Ta For Kids,FAMILY,Free,Everyone,Education,Education,1
A0276,AJ Academy: Amazing Animals,FAMILY,Free,Everyone,Educational,Education,1
A0277,Masha and the Bear: Evolution,FAMILY,Free,Everyone,Strategy,Education,1
A0278,Super School: Educational Kids Games & Rhymes,FAMILY,Free,Everyone,Education,Education,1
A0279,Baby Tiger Care - My Cute Virtual Pet Friend,FAMILY,Free,Everyone 10+,Educational,Education,1
A0280,Math games for kids : times tables training,FAMILY,Paid,Everyone,Educational,Education,1
A0281,Kids Educational :All in One,FAMILY,Free,Everyone,Education,Education,1
A0282,Kiddopia - Preschool Learning Games,FAMILY,Free,Everyone,Educational,Education,1
A0283,Arabic Alphabet Alif Ba Ta Wooden Blocks,FAMILY,Free,Everyone,Educational,Education,1
A0284,OWLIE BOO,FAMILY,Free,Everyone,Puzzle,Education,1
A0285,Math Games for Pre-K - Grade 4,FAMILY,Paid,Everyone,Education,Education,1
A0286,Drawing for Kids Learning Games for Toddlers age 3,FAMILY,Free,Everyone,Educational,Education,1
A0287,Super ABC! Learning games for kids! Preschool apps,FAMILY,Free,Everyone,Educational,Education,1
A0288,Super ABC! Learning games for kids! Preschool apps,FAMILY,Free,Everyone,Educational,Education,1
A0289,Baby ABC in box! Kids alphabet games for toddlers!,FAMILY,Free,Everyone,Educational,Education,1
A0290,Toddler Kids Puzzles PUZZINGO,FAMILY,Free,Everyone,Education,Education,1
A0291,Dr. Seuss's ABC,FAMILY,Paid,Everyone,Books & Reference,Education,1
A0292,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,Paid,Everyone,Education,Education,1
A0293,Ey Sey Storytime រឿងនិទានតាឥសី,FAMILY,Free,Everyone,Education,Education,1
A0294,Sworkit Kids - Fitness Meets Fun,FAMILY,Free,Everyone,Health & Fitness,Education,1
A0295,Learn alif ba ta,FAMILY,Free,Everyone,Educational,Education,1
A0296,Wowkwis aq Ka'qaquj,FAMILY,Free,Everyone,Education,Education,1
A0297,Farming Simulator 18,GAME,Paid,Everyone,Simulation,Education,1
A0298,My baby firework,PARENTING,Free,Everyone,Parenting,Education,1
A0299,Vegetable Fun,PARENTING,Free,Everyone,Parenting,Education,1
A0300,Baby Panda Learns Shapes,PARENTING,Free,Everyone,Parenting,Education,1
A0301,Universal Kids,ENTERTAINMENT,Free,Everyone,Entertainment,Music & Video,1
A0302,LEGO® TV,ENTERTAINMENT,Free,Everyone 10+,Entertainment,Music & Video,1
A0303,Nick,ENTERTAINMENT,Free,Everyone 10+,Entertainment,Music & Video,1
A0304,Nick,ENTERTAINMENT,Free,Everyone 10+,Entertainment,Music & Video,1
A0305,Nick,ENTERTAINMENT,Free,Everyone 10+,Entertainment,Music & Video,1
A0306,Nick,ENTERTAINMENT,Free,Everyone 10+,Entertainment,Music & Video,1
A0307,Nick Jr. - Shows & Games,ENTERTAINMENT,Free,Everyone,Entertainment,Music & Video,1
A0308,LEGO® TV,FAMILY,Free,Everyone 10+,Entertainment,Music & Video,1
A0309,Read Unlimitedly! Kids'n Books,FAMILY,Free,Everyone,Education,Music & Video,1
A0310,Masha and The Bear,FAMILY,Free,Everyone,Video Players & Editors,Music & Video,1
A0311,The Noise-O-Meter,FAMILY,Free,Everyone,Entertainment,Music & Video,1
A0312,Kids Balloon Pop Game Free 🎈,FAMILY,Free,Everyone,Casual,Music & Video,1
