app_id,app_name,rating,reviews,app_size,installs, price ,last_updated
A0040,The Great Wobo Escape Ep.1,4.3,11,20,500,1.99,5/3/2016
A0041,Burrito Bash – We Bare Bears,4.3,10776,21,"1,000,000", -   ,10/26/2017
A0042,Card Wars - Adventure Time,4.3,129603,23,"1,000,000",2.99,2/11/2016
A0043,Soundtrack Attack,4.3,96045,25,"5,000,000", -   ,7/26/2016
A0044,Card Wars Kingdom,4.3,920571,28,"10,000,000", -   ,1/17/2017
A0045,Shopkins World!,4.3,169609,34,"10,000,000", -   ,6/13/2018
A0046,Shopkins World!,4.3,169609,34,"10,000,000", -   ,6/13/2018
A0047,Frozen Free Fall,4.3,1574197,37,"50,000,000", -   ,7/27/2018
A0048,Frozen Free Fall,4.3,1574204,37,"50,000,000", -   ,7/27/2018
A0049,Frozen Free Fall,4.3,1574546,37,"50,000,000", -   ,7/27/2018
A0050,NBA JAM by EA SPORTS™,4.3,56444,43,"500,000",4.99,2/8/2017
A0051,Strawberry Shortcake BerryRush,4.3,525552,48,"10,000,000", -   ,10/15/2017
A0052,Strawberry Shortcake BerryRush,4.3,525552,48,"10,000,000", -   ,10/15/2017
A0053,Equestria Girls,4.3,392596,53,"10,000,000", -   ,7/22/2016
A0054,Equestria Girls,4.3,392596,53,"10,000,000", -   ,7/22/2016
A0055,Equestria Girls,4.3,392819,53,"10,000,000", -   ,7/22/2016
A0056,PAC-MAN Pop,4.3,24877,54,"5,000,000", -   ,6/20/2018
A0057,Wrecker's Revenge - Gumball,4.3,2263,55,"100,000", -   ,9/21/2017
A0058,Paw Patrol by ShuffleCards,4.3,3484,56,"1,000,000", -   ,3/7/2017
A0059,LEGO® DC Mighty Micros,4.3,139545,63,"10,000,000", -   ,1/30/2018
A0060,Nasty Goats,4.3,45579,64,"1,000,000", -   ,4/14/2016
A0061,Disney Magic Kingdoms: Build Your Own Magical Park,4.3,472584,91,"10,000,000", -   ,8/2/2018
A0062,Disney Magic Kingdoms: Build Your Own Magical Park,4.3,472584,91,"10,000,000", -   ,8/2/2018
A0063,Extreme Racing 2 - Real driving RC cars game!,4.3,4207,93,"500,000", -   ,8/31/2017
A0064,DC Super Hero Girls™,4.3,43060,95,"5,000,000", -   ,6/29/2018
A0065,DC Super Hero Girls™,4.3,43060,95,"5,000,000", -   ,6/29/2018
A0066,DC Super Hero Girls™,4.3,43090,95,"5,000,000", -   ,6/29/2018
A0067,Turbo FAST,4.3,1329192,97,"50,000,000", -   ,10/4/2017
A0068,Turbo FAST,4.3,1329008,97,"50,000,000", -   ,10/4/2017
A0069,Flipped Out! - Powerpuff Girls,4.4,412,22,"10,000",2.99,6/30/2016
A0070,Transformers Rescue Bots: Disaster Dash,4.4,19245,25,"1,000,000", -   ,3/28/2018
A0071,Guardians of Ancora,4.4,969,26,"50,000", -   ,7/20/2018
A0072,Car Racing game for Kids - Beepzz Dogs 🐕,4.4,131,48,"100,000", -   ,6/13/2018
A0073,Monster Truck Driver & Racing,4.4,765,51,"1,000,000", -   ,1/19/2017
A0074,Plants vs. Zombies™ Heroes,4.4,379415,68,"10,000,000", -   ,6/26/2018
A0075,Plants vs. Zombies™ Heroes,4.4,379245,68,"10,000,000", -   ,6/26/2018
A0076,Boomerang Make and Race,4.4,281448,70,"10,000,000", -   ,6/1/2018
A0077,PJ Masks: Moonlight Heroes,4.4,86961,99,"10,000,000", -   ,6/5/2018
A0078,PJ Masks: Moonlight Heroes,4.4,86961,99,"10,000,000", -   ,6/5/2018
A0079,PJ Masks: Moonlight Heroes,4.4,87045,99,"10,000,000", -   ,6/5/2018
A0080,"Alizay, pirate girl",4.5,197,11,"1,000",2.99,3/23/2017
A0081,Go-Go-Goat! Free Game,4.5,66740,23,"1,000,000", -   ,7/8/2016
A0082,OK K.O.! Lakewood Plaza Turbo,4.5,76608,24,"1,000,000", -   ,1/5/2017
A0083,Leo and Tig,4.5,47644,27,"1,000,000", -   ,5/31/2018
A0084,Teen Titans GO Figure!,4.5,1985,28,"10,000",3.99,7/18/2018
A0085,Farming Simulator 14,4.5,530854,51,"10,000,000", -   ,7/17/2017
A0086,Farming Simulator 14,4.5,530904,51,"10,000,000", -   ,7/17/2017
A0087,"What's Up, Snoopy? - Peanuts",4.5,773,55,"100,000", -   ,8/22/2017
A0088,ROBLOX,4.5,4449910,67,"100,000,000", -   ,7/31/2018
A0089,ROBLOX,4.5,4450855,67,"100,000,000", -   ,7/31/2018
A0090,ROBLOX,4.5,4450890,67,"100,000,000", -   ,7/31/2018
A0091,ROBLOX,4.5,4443407,67,"100,000,000", -   ,7/31/2018
A0092,Pony Friends 🦄 - Beepzz racing game for kids,4.5,114,69,"50,000", -   ,6/13/2018
A0093,Real Racing 3,4.5,354384,71,"10,000,000", -   ,7/2/2018
A0094,Real Racing 3,4.5,354454,71,"10,000,000", -   ,7/2/2018
A0095,Cars: Lightning League,4.5,58795,77,"10,000,000", -   ,5/21/2018
A0096,Disney Crossy Road,4.5,514088,83,"10,000,000", -   ,5/30/2018
A0097,Ski Safari: Adventure Time,4.5,48754,9.3,"100,000",0.99,10/7/2014
A0098,Teeny Titans - Teen Titans Go!,4.6,20463,25,"100,000",3.99,7/18/2018
A0099,Henry Danger Crime Warp,4.6,9626,28,"1,000,000", -   ,2/7/2018
A0100,Super Slime Blitz - Gumball,4.6,5395,58,"500,000", -   ,5/24/2018
A0101,Monster High™ Minis Mania,4.6,19170,70,"1,000,000", -   ,3/15/2017
A0102,Surely You Quest - Magiswords,4.6,43314,83,"1,000,000", -   ,6/20/2017
A0103,My Oasis - Calming and Relaxing Idle Clicker Game,4.6,106750,94,"1,000,000", -   ,6/29/2018
A0104,Attack the Light,4.7,19209,21,"100,000",2.99,2/23/2016
A0105,Dog Run - Pet Dog Simulator,4.7,48615,24,"10,000,000", -   ,5/22/2018
A0106,Dog Run - Pet Dog Simulator,4.7,48701,24,"10,000,000", -   ,5/22/2018
A0107,Ninja Dash - Ronin Jump RPG,4.7,8508,54,"500,000", -   ,8/2/2018
A0108,Strawberry Shortcake BerryRush,4.3,525517,48,"10,000,000", -   ,10/15/2017
A0109,DC Super Hero Girls™,4.3,43055,95,"5,000,000", -   ,6/29/2018
A0110,ROBLOX,4.5,4447388,67,"100,000,000", -   ,7/31/2018
A0111,ROBLOX,4.5,4447346,67,"100,000,000", -   ,7/31/2018
A0112,ROBLOX,4.5,4448791,67,"100,000,000", -   ,7/31/2018
A0113,ROBLOX,4.5,4449882,67,"100,000,000", -   ,7/31/2018
A0114,ROBLOX,4.5,4449910,67,"100,000,000", -   ,7/31/2018
A0115,Dog Run - Pet Dog Simulator,4.7,48615,24,"10,000,000", -   ,5/22/2018
A0116,Ascape VR: 360° Virtual Travel,4.1,890,7.6,"100,000", -   ,8/9/2017
A0117,Memorado - Brain Games,4.4,56897,97,"1,000,000", -   ,1/16/2017
A0118,No.Draw - Colors by Number 2018,4.5,235496,13,"10,000,000", -   ,7/29/2018
A0119,Low Poly – Puzzle art game,4.5,23063,17,"1,000,000", -   ,8/3/2018
A0120,Color By Numbers - Art Game for Kids and Adults,3.1,305,8.3,"100,000", -   ,7/7/2016
A0121,CN Summer Challenge,3.7,985,49,"100,000", -   ,5/24/2018
A0122,Chess PRO Free,3.8,1123,5.7,"100,000", -   ,9/8/2016
A0123,Start the Hunt for the Lost Treasure,3.8,302,8.1,"10,000", -   ,9/13/2017
A0124,THE aMAZEing Labyrinth,3.9,1615,1.2,"10,000",4.99,2/9/2016
A0125,EP Chain Reaction,3.9,249,21,"10,000", -   ,4/10/2016
A0126,Mad Libs,4,8126,61,"1,000,000", -   ,7/31/2018
A0127,Dominos Game ✔️,4.1,2903,16,"1,000,000", -   ,7/5/2018
A0128,Checkers ✔️,4.1,3617,19,"1,000,000", -   ,7/24/2018
A0129,Kids Animals Jigsaw Puzzles 😄,4.1,51895,22,"10,000,000", -   ,6/16/2018
A0130,Painting By Numbers,4.1,213,26,"50,000", -   ,6/8/2018
A0131,Chess for Kids - Play & Learn,4.1,3234,47,"100,000", -   ,5/15/2018
A0132,Ludo Family Dice Game,4.2,3593,19,"500,000", -   ,3/7/2018
A0133,Steam: Rails to Riches,4.2,214,67,"5,000",4.99,12/13/2017
A0134,Word Search Games in english,4.3,63186,16,"10,000,000", -   ,7/12/2018
A0135,Chess Free,4.3,23772,17,"5,000,000", -   ,8/2/2017
A0136,Power Spheres by BoBoiBoy,4.3,70903,51,"5,000,000", -   ,5/3/2018
A0137,Masha and Bear: Cooking Dash,4.3,151374,54,"10,000,000", -   ,6/5/2018
A0138,Free games: Masha and the Bear,4.3,34514,60,"5,000,000", -   ,7/20/2018
A0139,Masha and The Bear Puzzle Game,4.3,13330,73,"1,000,000", -   ,5/24/2018
A0140,Mosaic puzzles,4.4,1595,14,"500,000", -   ,7/4/2018
A0141,Fruit Boom,4.4,17753,16,"1,000,000", -   ,5/25/2018
A0142,Block Puzzle : Night in Egypt,4.4,276,16,"50,000", -   ,9/12/2017
A0143,All-in-One Mahjong 3,4.4,38,16,100,0.99,6/14/2018
A0144,Jewels Crush- Match 3 Puzzle,4.4,14774,19,"1,000,000", -   ,7/23/2018
A0145,Candy Bomb,4.4,42145,20,"10,000,000", -   ,7/4/2018
A0146,Bubble Shooter,4.4,59843,20,"5,000,000", -   ,1/9/2018
A0147,Solitaire,4.4,685,26,"100,000", -   ,7/16/2018
A0148,Where's My Water? Free,4.4,1372013,57,"100,000,000", -   ,11/21/2017
A0149,Inside Out Thought Bubbles,4.4,623398,58,"10,000,000", -   ,8/31/2017
A0150,Inside Out Thought Bubbles,4.4,623398,58,"10,000,000", -   ,8/31/2017
A0151,No.Draw - Colors by Number 2018,4.5,235906,13,"10,000,000", -   ,7/29/2018
A0152,"Pixel art pro-Sand box,paint by number,number draw",4.5,2442,13,"100,000", -   ,7/6/2018
A0153,Candy Smash,4.5,11436,15,"1,000,000", -   ,4/17/2018
A0154,All-in-One Mahjong 3 FREE,4.5,566,17,"50,000", -   ,6/13/2018
A0155,Chess and Mate,4.5,359,17,"5,000",4.99,8/12/2015
A0156,Happy Fruits Bomb - Cube Blast,4.5,2150,20,"500,000", -   ,2/1/2018
A0157,Toy Pop Cubes,4.5,5761,21,"1,000,000", -   ,7/4/2018
A0158,Mahjong,4.5,33983,22,"5,000,000", -   ,8/2/2018
A0159,Masha and the Bear. Educational Games,4.5,46369,33,"10,000,000", -   ,7/13/2018
A0160,Baby Panda’s Juice Shop,4.5,19230,45,"5,000,000", -   ,7/12/2018
A0161,Kids Corner: Interactive Tales and Games for kids,4.5,6404,46,"500,000", -   ,7/16/2018
A0162,Candy Day,4.5,11716,48,"1,000,000", -   ,8/3/2018
A0163,Crazy Colors: Bubbles Matching,4.6,3063,1.6,"100,000", -   ,5/24/2018
A0164,Mind Games Pro,4.6,15301,18,"100,000",2.99,7/18/2018
A0165,Garden Fruit Legend,4.6,4289,33,"500,000", -   ,7/31/2018
A0166,Puzzle Kids - Animals Shapes and Jigsaw Puzzles,4.6,1109,52,"1,000,000", -   ,7/18/2018
A0167,The Hunt for the Lost Treasure,4.6,7148,8.1,"100,000",2.99,9/13/2017
A0168,Fruit Cube Blast,4.6,9199,80,"500,000", -   ,8/3/2018
A0169,Masha and The Bear Jam Day Match 3 games for kids,4.6,50060,98,"1,000,000", -   ,8/7/2018
A0170,Candy Pop Story,4.7,12948,23,"1,000,000", -   ,5/24/2018
A0171,Tsuro - The Game of the Path,4.7,2195,37,"10,000",2.99,8/2/2016
A0172,Where's My Water?,4.7,188740,69,"1,000,000",1.99,7/5/2018
A0173,Lanterns: The Harvest Festival,4.7,185,72,"1,000",4.99,5/1/2018
A0174,Pino chess,4.8,61,25,"1,000", -   ,1/26/2017
A0175,Hactar Go,4.8,97,3.5,"1,000",2.99,3/30/2018
A0176,"No. Color - Color by Number, Number Coloring",4.8,269194,6.9,"10,000,000", -   ,8/3/2018
A0177,Candy Bomb,4.4,42145,20,"10,000,000", -   ,7/4/2018
A0178,My baby Game (Balloon POP!),3.8,3614,3.3,"1,000,000", -   ,5/28/2018
A0179,Paint Splash!,3.8,2206,1.2,"100,000", -   ,4/15/2018
A0180,Pixel Draw - Number Art Coloring Book,4.3,967,2.8,"100,000", -   ,6/20/2018
A0181,UNICORN - Color By Number & Pixel Art Coloring,4.7,8145,24,"500,000", -   ,8/2/2018
A0182,Colorfit - Drawing & Coloring,4.7,20260,25,"500,000", -   ,10/11/2017
A0183,Kids Paint Free - Drawing Fun,4.7,121,3.1,"10,000", -   ,7/3/2018
A0184,Unicorn Pokez - Color By Number,4.8,516,12,"50,000", -   ,8/3/2018
A0185,Cars Coloring Pages,4.4,1090,49,"1,000,000", -   ,2/3/2018
A0186,Princess Coloring Book,4.5,9770,39,"5,000,000", -   ,2/25/2018
A0187,Pinkalicious Party,3,2,82,500,2.99,6/25/2018
A0188,Pet Beauty Salon,3.8,20292,47,"1,000,000", -   ,5/24/2015
A0189,Barbie Magical Fashion,4,328619,15,"10,000,000", -   ,10/6/2017
A0190,Video Editor,4.1,159619,23,"5,000,000", -   ,7/17/2018
A0191,Barbie™ Fashion Closet,4.1,68286,85,"10,000,000", -   ,7/30/2018
A0192,Hello Kitty Lunchbox,4.2,51838,15,"5,000,000", -   ,11/21/2017
A0193,Dr. Panda Art Class,4.2,1013,58,"50,000",2.99,4/26/2017
A0194,Toca Mystery House,4.2,96,79,"5,000",3.99,6/14/2018
A0195,Beauty and the Beast,4.4,70883,31,"1,000,000", -   ,8/7/2018
A0196,Princess Adventures Puzzles,4.4,382,44,"500,000", -   ,8/1/2018
A0197,Coloring & Learn,4.4,12753,51,"5,000,000", -   ,7/17/2018
A0198,Fairy Kingdom: World of Magic and Farming,4.4,129542,63,"1,000,000", -   ,7/23/2018
A0199,Princess Palace: Royal Pony,4.4,11442,66,"1,000,000", -   ,6/30/2016
A0200,No.Color – Color by Number,4.4,23474,8.8,"5,000,000", -   ,7/26/2018
A0201,Cutie Cubies,4.4,6356,83,"500,000", -   ,7/4/2018
A0202,Princess Coloring Book,4.5,9779,39,"5,000,000", -   ,2/25/2018
A0203,No.Diamond – Colors by Number,4.6,9016,24,"1,000,000", -   ,8/6/2018
A0204,Sandbox - Color by Number Coloring Pages,4.7,412744,10,"10,000,000", -   ,7/19/2018
A0205,Color By Number - Sandbox Pixel Coloring Book,4.7,24557,24,"1,000,000", -   ,8/3/2018
A0206,Draw Color by Number - Sandbox Pixel Art,4.7,34279,24,"1,000,000", -   ,8/2/2018
A0207,UNICORN - Color By Number & Pixel Art Coloring,4.7,8264,24,"500,000", -   ,8/2/2018
A0208,Barbie™ Fashion Closet,4.1,68057,85,"10,000,000", -   ,7/30/2018
A0209,Video Editor,4.1,159622,23,"5,000,000", -   ,7/17/2018
A0210,ABC Preschool Free,3.8,27572,25,"5,000,000", -   ,10/25/2017
A0211,Dinosaurs Coloring Pages,4.4,390,41,"500,000", -   ,2/3/2018
A0212,ClassDojo,4.4,148550,59,"10,000,000", -   ,8/3/2018
A0213,ClassDojo,4.4,148549,59,"10,000,000", -   ,8/3/2018
A0214,Rosetta Stone: Learn to Speak & Read New Languages,4.5,172505,76,"5,000,000", -   ,6/27/2018
A0215,Rosetta Stone: Learn to Speak & Read New Languages,4.5,172508,76,"5,000,000", -   ,6/27/2018
A0216,Rosetta Stone: Learn to Speak & Read New Languages,4.5,172508,76,"5,000,000", -   ,6/27/2018
A0217,Rosetta Stone: Learn to Speak & Read New Languages,4.5,172508,76,"5,000,000", -   ,6/27/2018
A0218,Fuzzy Numbers: Pre-K Number Foundation,4.7,21,44,"1,000",5.99,7/21/2017
A0219,"Learn Japanese, Korean, Chinese Offline & Free",4.9,133136,26,"1,000,000", -   ,7/20/2018
A0220,EG Classroom Decimals™,3,2,18,50,2.99,6/12/2017
A0221,EF Spelling Bee,3,2,9.4,500, -   ,10/12/2017
A0222,Cook 'n Learn Smart Kitchen,3.5,205,62,"50,000", -   ,3/6/2017
A0223,Lire avec Sami et Julie,3.6,569,18,"100,000", -   ,6/13/2014
A0224,Tee and Mo Bath Time Free,3.6,418,97,"100,000", -   ,11/7/2016
A0225,Tee and Mo Bath Time Free,3.6,418,97,"100,000", -   ,11/7/2016
A0226,DK Virtual Reality,3.7,42,29,"1,000", -   ,3/13/2018
A0227,Q Wunder,3.8,156,43,"10,000", -   ,6/30/2018
A0228,Madagascar Surf n' Slides Free,3.8,48929,45,"5,000,000", -   ,9/8/2017
A0229,Sweet Baby Girl Newborn Baby,3.8,36028,50,"5,000,000", -   ,7/2/2018
A0230,Montessori Preschool,3.9,237,26,"100,000", -   ,7/12/2018
A0231,Sweet Baby Girl - Dream House and Play Time,3.9,95537,58,"10,000,000", -   ,7/13/2018
A0232,Math games for kids : times tables - AB Math,3.9,2371,8.3,"500,000", -   ,7/27/2018
A0233,Earth to Luna! Watch and Play,3.9,10753,84,"1,000,000", -   ,7/23/2018
A0234,Cursive Writing Wizard - Handwriting,4,3745,31,"1,000,000", -   ,12/3/2017
A0235,Learn German: Die Bienenretter,4,25,79,"5,000", -   ,7/26/2017
A0236,Nancy Drew Codes and Clues,4.1,154,16,"10,000", -   ,1/13/2017
A0237,CK-12 Physics Simulations,4.1,30,24,"5,000", -   ,4/18/2018
A0238,Writing Wizard Premium - Handwriting,4.1,89,33,"5,000",4.49,12/3/2017
A0239,Preschool All-In-One,4.1,9019,44,"1,000,000", -   ,3/28/2018
A0240,codeSpark Academy & The Foos,4.1,4522,57,"500,000", -   ,6/21/2018
A0241,Masha and the Bear Child Games,4.1,288523,92,"10,000,000", -   ,5/8/2018
A0242,Masha and the Bear Child Games,4.1,288606,92,"10,000,000", -   ,5/8/2018
A0243,Farming Simulator 16,4.2,32812,14,"500,000",2.99,4/10/2018
A0244,CK-12: Practice Math & Science,4.2,562,20,"50,000", -   ,12/21/2017
A0245,Doctor Pets,4.2,23060,21,"1,000,000", -   ,7/26/2018
A0246,Kids A-Z,4.2,26426,30,"1,000,000", -   ,8/2/2018
A0247,Starfall Free & Member,4.2,19720,41,"1,000,000", -   ,11/7/2017
A0248,FlexBook,4.3,104,12,"10,000", -   ,5/21/2018
A0249,"Math Quiz Free: Grades K,1,2,3",4.3,159,13,"10,000", -   ,2/3/2015
A0250,Baby puzzles,4.3,11950,19,"5,000,000", -   ,7/12/2018
A0251,iTooch Mathématiques CP,4.3,1018,35,"100,000", -   ,6/28/2017
A0252,Kids Educational Game 3 Free,4.3,24936,38,"5,000,000", -   ,5/16/2018
A0253,Educational Games 4 Kids,4.3,11618,39,"5,000,000", -   ,4/3/2018
A0254,My Little Work – Garage,4.3,560,44,"10,000",3.99,6/17/2015
A0255,Zapzapmath: K-6 Math Games,4.3,1065,61,"100,000", -   ,5/13/2018
A0256,Intellijoy Early Learning Academy,4.3,160,67,"50,000", -   ,6/18/2018
A0257,ABCmouse.com,4.3,50887,91,"5,000,000", -   ,7/3/2018
A0258,PBS KIDS Games,4.3,12919,94,"1,000,000", -   ,6/6/2018
A0259,Learn To Draw Glow Flower,4.4,7320,10,"1,000,000", -   ,7/7/2017
A0260,Draw.ly - Color by Number Pixel Art Coloring,4.4,18616,10,"1,000,000", -   ,8/5/2018
A0261,King of Math,4.4,766,14,"10,000",2.99,5/22/2018
A0262,Sounds for Toddlers FREE,4.4,6190,23,"1,000,000", -   ,8/24/2015
A0263,Sounds for Toddlers FREE,4.4,6190,23,"1,000,000", -   ,8/24/2015
A0264,Endless Numbers,4.4,2952,37,"500,000", -   ,6/19/2018
A0265,World History Quick e-Book,4.4,1657,4.9,"100,000", -   ,7/17/2018
A0266,Sight Words Pre-K to Grade-3,4.4,1185,40,"100,000", -   ,6/17/2018
A0267,Tricky Bike Stunt Rider DX,4.4,16,45,500, -   ,7/29/2018
A0268,ClassDojo,4.4,148536,59,"10,000,000", -   ,8/3/2018
A0269,Papumba Academy - Fun Learning For Kids,4.4,496,94,"100,000", -   ,7/11/2018
A0270,Papumba Academy - Fun Learning For Kids,4.4,496,94,"100,000", -   ,7/11/2018
A0271,Papumba Academy - Fun Learning For Kids,4.4,496,94,"100,000", -   ,7/11/2018
A0272,Alif Ba Ta Song - Arabic Kids,4.5,227,15,"50,000", -   ,2/24/2018
A0273,Zowi App,4.5,516,21,"50,000", -   ,12/21/2016
A0274,Educational Games for Kids,4.5,7050,24,"1,000,000", -   ,5/27/2018
A0275,Arabic Alif Ba Ta For Kids,4.5,226,26,"100,000", -   ,5/30/2017
A0276,AJ Academy: Amazing Animals,4.5,1564,35,"50,000", -   ,5/25/2018
A0277,Masha and the Bear: Evolution,4.5,2062,42,"500,000", -   ,6/14/2018
A0278,Super School: Educational Kids Games & Rhymes,4.5,1791,56,"500,000", -   ,6/2/2018
A0279,Baby Tiger Care - My Cute Virtual Pet Friend,4.5,432,63,"100,000", -   ,7/27/2018
A0280,Math games for kids : times tables training,4.5,630,8.3,"10,000",1.59,7/27/2018
A0281,Kids Educational :All in One,4.5,1455,8.9,"500,000", -   ,2/1/2018
A0282,Kiddopia - Preschool Learning Games,4.5,64,81,"10,000", -   ,7/18/2018
A0283,Arabic Alphabet Alif Ba Ta Wooden Blocks,4.6,66,17,"10,000", -   ,2/25/2018
A0284,OWLIE BOO,4.6,834,22,"100,000", -   ,3/15/2018
A0285,Math Games for Pre-K - Grade 4,4.6,28,23,"1,000",1.99,1/13/2014
A0286,Drawing for Kids Learning Games for Toddlers age 3,4.6,29436,43,"1,000,000", -   ,3/21/2018
A0287,Super ABC! Learning games for kids! Preschool apps,4.6,20267,46,"1,000,000", -   ,7/16/2018
A0288,Super ABC! Learning games for kids! Preschool apps,4.6,20267,46,"1,000,000", -   ,7/16/2018
A0289,Baby ABC in box! Kids alphabet games for toddlers!,4.6,9652,53,"1,000,000", -   ,7/16/2018
A0290,Toddler Kids Puzzles PUZZINGO,4.6,14014,60,"1,000,000", -   ,7/6/2018
A0291,Dr. Seuss's ABC,4.7,429,12,"10,000",3.99,2/26/2018
A0292,Fuzzy Numbers: Pre-K Number Foundation,4.7,21,44,"1,000",5.99,7/21/2017
A0293,Ey Sey Storytime រឿងនិទានតាឥសី,4.7,1327,44,"10,000", -   ,5/18/2017
A0294,Sworkit Kids - Fitness Meets Fun,4.7,9856,55,"100,000", -   ,2/2/2016
A0295,Learn alif ba ta,4.8,23,35,"10,000", -   ,11/28/2017
A0296,Wowkwis aq Ka'qaquj,5,1,49,10, -   ,2/16/2018
A0297,Farming Simulator 18,4.5,18125,15,"100,000",4.99,7/9/2018
A0298,My baby firework,3.7,4976,2.8,"1,000,000", -   ,5/28/2018
A0299,Vegetable Fun,3.9,3182,46,"1,000,000", -   ,6/15/2018
A0300,Baby Panda Learns Shapes,4,3789,42,"1,000,000", -   ,6/21/2018
A0301,Universal Kids,3.6,1968,21,"500,000", -   ,5/24/2018
A0302,LEGO® TV,3.7,17247,7.2,"1,000,000", -   ,8/4/2018
A0303,Nick,4.2,123279,25,"10,000,000", -   ,1/24/2018
A0304,Nick,4.2,123279,25,"10,000,000", -   ,1/24/2018
A0305,Nick,4.2,123279,25,"10,000,000", -   ,1/24/2018
A0306,Nick,4.2,123279,25,"10,000,000", -   ,1/24/2018
A0307,Nick Jr. - Shows & Games,4.2,8968,35,"1,000,000", -   ,1/23/2018
A0308,LEGO® TV,3.7,17250,7.2,"1,000,000", -   ,8/4/2018
A0309,Read Unlimitedly! Kids'n Books,3.8,7462,31,"1,000,000", -   ,2/16/2018
A0310,Masha and The Bear,4,39779,19,"5,000,000", -   ,8/5/2016
A0311,The Noise-O-Meter,4,1699,72,"100,000", -   ,10/18/2017
A0312,Kids Balloon Pop Game Free 🎈,4.1,38021,19,"10,000,000", -   ,7/6/2018
A0313,Kids Balloon Pop Game Free 🎈,4.1,38021,19,"10,000,000", -   ,7/6/2018
A0314,Discovery K!ds Play!,4.1,19388,35,"1,000,000", -   ,5/3/2018
A0315,Voice Changer,4.1,138050,5.7,"10,000,000", -   ,4/19/2018
A0316,Nick,4.2,123322,25,"10,000,000", -   ,1/24/2018
A0317,Nick,4.2,123309,25,"10,000,000", -   ,1/24/2018
A0318,Discovery K!ds Play! Español,4.2,11263,35,"1,000,000", -   ,5/3/2018
A0319,Boomerang,4.2,13519,51,"1,000,000", -   ,7/27/2018
